"filename","mentions","full.filename.txt","ObjectID","Name","File.Size","File.Size.in.Bytes","Num.PDFPages","COUNTRY","YEAR","EVENTTYPE","INTERNALEVENTNUM","INTERNALSYSNUM","SOURCE","TRANSLATOR","PUBLISHER","no.text","not.in.chronology","duplicated","language","not.available.in.english","txt.size","has.mention","year.has.mention","earliest.dem","latest.dem","latest.dem.not.amendment","last.constitution.in.force","first.constitution.in.force","mentions.only.in.amendment","has.gaps","gap.years","democracy.event"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_1980EnglishPrivate_11031.txt",NA,"Afghanistan_1980EnglishPrivate_11031.txt",11031,"Afghanistan's Constitution of 1980","1M",1586989,11,"Afghanistan",1980,"interim",1268,826," Constitutions of Afghanistan (1923-1996), The","Not Specified","Shah M Book Co",TRUE,FALSE,TRUE,"English",FALSE,11,FALSE,TRUE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,NA
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_1980EnglishPrivate_7.txt","/DEMOCRATIC/REPUBLIC OF//DEMOCRATIC REPUBLIC OF AFGHANISTAN""///The Democratic Republic of Afghanistan [DRA] Revolu-/tionary Council, on behalf of all the Muslim and toiling/the interests of the workers, farmers, artisans, nomads,/intellectuals and all toilers and all democratic and/patriotic forces of all the, nationalities, tribes and/dence and national sovereignty and territorial integrity/and the democratic popular order of the masses of Afghan-/istan; for the purpose of the strengthening of the unity/Afghanistan; for the purpose of the successful development/of the national and democratic Sawr Revolution and the/realization of its ideals and aims based on the creation/of a new society of peace and work, freedom and justice,/brotherhood and equality, democracy and progress, have/ratified, published and do announce its enforcement on//DEMOCRATIC REPUBLIC OF AFGHANISTAN///DEMOCRATIC REPUBLIC OF AFGHANISTAN//on 27 December 1979, entering the proud national history of/Afghanistan and beginning a national, democratic antifeudal/and anti-imperialist revolution. As a result of the Sawr/aiming at the final success of the national revolution, the/consolidation of democracy and the new constructive order,/which is based on the foundation of peace and freedom, pro-/social, economic and cultural progress, under the leader-/ship of the People's Democratic Party of Afghanistan [PDPA],/the party of the working class and other toilers of the/and actively participate and attract the toilers and all/democratic, progressive and patriotic forces of the country/democratic, progressive and patriotic forces of the country/in the changes of the national and democratic, antifeudal/in the changes of the national and democratic, antifeudal/and anti-imperialist revolution and the defense of the bane-//Article 1. The DRA is the independent and democratic/government of all the toiling Muslim people of Afghanistan,/including workers, farmers, artisans, nomads, intellectuals/and other toilers and all democratic and patriotic forces/of all nationalities and tribes of the country./city and village in the DRA and is guided by complete state/and local organs which are selected by democratic means./Article 3. The power of toilers in the DRA is based/women and male youths and the representatives of all nation-/alities and tribes, all democratic, progressive and patriotic/forces and the country's social and political organizations,/under the leadership of the PDPA, on the basis of a general/program for the construction of a new, free and democratic/society. The national fatherland alliance has the duty of/people for the purpose of common activity in the fulfillment/of duties concerning the national and democratic development/of the country, the training of people with a patriotic/enunciator of the intention and interests of the workers,/farmers, intellectuals, all toilers and national and demo-/cratic forces, and the steadfast defender of the true/The PDPA gives priority to the principles of the national/and democratic revolution in its domestic and foreign policy,/based on the intention of the people of Afghanistan, and/women and youth organizations, scientific, cultural,/artistic associations and other social and democratic/organizations of the toilers, at the frontlines of which/and the people of the world for peace, national and social/independence, democracy and progress, and against colonial-/ism, neocolonialism, imperialism, Zionism, racism and fascism./with the stipulations of the law. The DRA will take neces-/sary measures for the realization of democratic changes in/agriculture in the interest of the broad masses of farmers/tuals, artisans, merchants, religious leaders and patriotic/clergy and all democratic and patriotic forces of the//economic, political, social and cultural, will be realized./Nobody shall use their democratic rights and freedoms/against the interests of the DRA and the rights of the//Article 29. The following democratic rights and/freedoms are guaranteed and extended to DRA citizens:/right of holding assemblies and peaceful demonstrations and/also the right of patriotic unity in social democratic and/progressive organizations. The practice of the above rights,/Article 34.  The DRA will provide all conditions so/the subjects can make effective use of their democratic/rights and freedom./the highest organ of state power of the DRA. The composi-/tion of the Loya Jirgah, the total democratic method and/manner of election of the representatives of the people of/for the Revolutionary Council, who will represent all the/democratic, national and progressive strata and classes,/will be proposed by the Presidium and ratified by the/subdistricts and villages for the solution of all questions/related to the locality. The democratic method of repre-/senting the people in the local committees, i.e., local/Article 54. Judgment in the DRA will be only made by/the court on the basis of democratic principles. Judgment/is rendered by the supreme court of the DRA, provincial,/cases in accordance with the rules of Shari'ah law and the/principles of democratic legality and justice./","Afghanistan_1980EnglishPrivate_7.txt",7,"Afghanistan's Constitution of 1980","1M",1065057,28,"Afghanistan",1980,"interim",1268,826,"Constitutions of the Countries of the World","Poulos, John W.","Oceana Publications, Inc.",FALSE,FALSE,TRUE,"English",FALSE,39596,TRUE,TRUE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,"interim"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_1987EnglishPrivate_8.txt","THE HEROIC STRUGGLES OF OUR COURAGEOUS PEOPLE FOR FREEDOM,/INDEPENDENCE, NATIONAL SOVEREIGNTY, DEMOCRACY AND SOCIAL PROGRESS. THE/DEVELOPMENTS WHICH HAVE TAKEN PLACE IN THE COURSE OF RECENT YEARS HAVE/PROGRESS OF THE HOMELAND AND PROSPERITY OF THE PEOPLE. IN THE PRESENT/STAGE, THE PEOPLE'S DEMOCRATIC PARTY OF AFGHANISTAN, AS THE INITIATOR/AND COORDINATOR OF THE POLICY OF NATIONAL RECONCILIATION, ACTIVELY/AND COORDINATOR OF THE POLICY OF NATIONAL RECONCILIATION, ACTIVELY/CARRIES FORWARD TOGETHER WITH OTHER POLITICAL, NATIONAL AND DEMOCRATIC/FORCES THIS HUMANITARIAN POLICY./OTHER LAND OWNERS IN ACCORDANCE WITH THE LAW. THE STATE SHALL ADOPT/NECESSARY MEASURES FOR THE REALIZATION OF DEMOCRATIC CHANGES IN/AGRICULTURE KEEPING IN VIEW THE INTERESTS OF PEASANTS AND OTHER LAND/THE REPUBLIC OF AFGHANISTAN SUPPORTS THE STRUGGLE OF THE PEOPLES AND/NATIONS FOR PEACE, NATIONAL INDEPENDENCE, DEMOCRACY, SOCIAL PROGRESS/AND THE RIGHT OF NATIONS TO SELF DETERMINATION AND FIGHTS AGAINST/ON THE ENACTMENT OF THIS CONSTITUTION, THE FUNDAMENTAL PRINCIPLES OF/THE DEMOCRATIC REPUBLIC OF AFGHANISTAN SHALL BE ABROGATED. THE LAWS AND/OTHER LEGISLATIVE DOCUMENTS ADOPTED PRIOR TO THE ENACTMENT OF THIS","Afghanistan_1987EnglishPrivate_8.txt",8,"Afghanistan's Constitution of 1987","66K",66559,27,"Afghanistan",1987,"new",5,828,"Afghanistan Online","Not Specified","A. Qazi",FALSE,FALSE,FALSE,"English",FALSE,56543,TRUE,TRUE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,"new"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_1990EnglishPrivate_9.txt","ENRICHED, WITH THE HEROIC STRUGGLE OF OUR BRAVE PEOPLE FOR /INDEPENDENCE, NATIONAL UNITY, DEMOCRACY AND SOCIAL PROGRESS. /AT THE PRESENT STAGE THE STATE OF THE REPUBLIC OF AFGHANISTAN IS /SOVEREIGNTY; ACHIEVING COUNTRYWIDE PEACE AND DEEPENING /NATIONAL UNITY; SECURING JUSTICE AND DEMOCRACY; /SOCIOECONOMIC RECONSTRUCTION AND BALANCED GROWTH AND /PEOPLES AND NATIONS FOR PEACE, NATIONAL INDEPENDENCE, /DEMOCRACY, SOCIAL PROGRESS AND THE RIGHT OF NATIONS TO SELF //ON THE ENACTMENT OF THIS CONSTITUTION, THE FUNDAMENTAL /PRINCIPLES OF THE DEMOCRATIC REPUBLIC OF AFGHANISTAN SHALL BE /ABROGATED. THE LAWS AND OTHER LEGISLATIVE DOCUMENTS ADOPTED","Afghanistan_1990EnglishPrivate_9.txt",9,"Afghanistan's Constitution of 1990","105K",105349,33,"Afghanistan",1990,"new",6,829,"Afghanistan Online","Not Specified","A. Qazi",FALSE,FALSE,FALSE,"English",FALSE,57576,TRUE,TRUE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,"new"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_2001EnglishPrivate_10.txt","/TO establish political, economic and social democracy; /","Afghanistan_2001EnglishPrivate_10.txt",10,"Afghanistan's Constitution of 2001","71K",71654,16,"Afghanistan",2001,"interim",1269,830,"Constitutions of the Countries of the World","Official","Oceana Publications, Inc.",FALSE,FALSE,FALSE,"English",FALSE,29201,TRUE,TRUE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,"interim"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_2004_8440.txt","Establish an order based on the peoples’ will and /democracy; / /progressive society based on social justice, preservation of human /dignity, protection of human rights, realization of democracy, /attainment of national unity as well as equality between all peoples","Afghanistan_2004_8440.txt",8440,"Afghanistan's Constitution of 2004","399K",399586,39,"Afghanistan",2004,"new",7,831,"Islamic Republic of Afghanistan, Office of the President","Not Specified","Islamic Republic of Afghanistan, Office of the President",FALSE,FALSE,TRUE,"English",FALSE,74178,TRUE,TRUE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,"new"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Afghanistan_2004EnglishPrivate_11.txt","and territorial integrity of the country, /   7. For establishing a government based on people's will and democracy, /   8. For creation of a civil society free of oppression, atrocity, discrimination, and /based on social justice, protection of human dignity, protection of human rights, /realization of democracy, and to ensure national unity and equality among all ethnic /groups and tribes and to provide for balanced development in all areas of the country.","Afghanistan_2004EnglishPrivate_11.txt",11,"Afghanistan's Constitution of 2004","95K",95200,25,"Afghanistan",2004,"new",7,831,"Wikisource","Not Specified","Wikimedia Foundation",FALSE,FALSE,TRUE,"English",FALSE,75086,TRUE,TRUE,1964,2004,2004,2004,1923,FALSE,FALSE,FALSE,"new"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/AfricanCharteronHumanandPeoplesRights_1981EnglishPrivate_7751.txt",NA,"AfricanCharteronHumanandPeoplesRights_1981EnglishPrivate_7751.txt",7751,"African Charter on Human and People's Rights 1981","67K",67536,18,"African Charter on Human and People's Rights",1981,"international convention",NA,NA,"African Union","Not Specified","African Union",FALSE,TRUE,NA,"English",FALSE,33439,FALSE,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Albania_1914FrenchPrivate_2264.txt",NA,"Albania_1914FrenchPrivate_2264.txt",2264,"Albania's Constitution of 1914","2M",2774416,19,"Albania",1914,"new",8,434,"L'Albania dall'indipendenza all'unione con l'ltalia","Not Specified","Istituto per gli Studi di Politica Internazionale",FALSE,FALSE,FALSE,"French",TRUE,87887,FALSE,FALSE,1928,2012,1998,1998,1914,FALSE,TRUE,FALSE,NA
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Albania_1925EnglishPrivate_12.txt",NA,"Albania_1925EnglishPrivate_12.txt",12,"Albania's Constitution of 1925","696K",696948,17,"Albania",1925,"new",1917,436,"Library of Congress","Not Specified","Legation of the United States of America",FALSE,FALSE,FALSE,"English",FALSE,39653,FALSE,FALSE,1928,2012,1998,1998,1914,FALSE,TRUE,FALSE,NA
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Albania_1928EnglishPrivate_13.txt","/Art. 1. Albania is a democratic, parliamentary and hereditary monarchy./","Albania_1928EnglishPrivate_13.txt",13,"Albania's Constitution of 1928","1M",1137392,22,"Albania",1928,"new",9,437,"Dag Trygsland Hoelseth's Homepage","Not Specified","Dag Trygsland Hoelseth",FALSE,FALSE,FALSE,"English",FALSE,54698,TRUE,TRUE,1928,2012,1998,1998,1914,FALSE,TRUE,FALSE,"new"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Albania_1939EnglishPrivate_14.txt",NA,"Albania_1939EnglishPrivate_14.txt",14,"Albania's Constitution of 1939","227K",227936,5,"Albania",1939,"new",1920,438,"Dag Trygsland Hoelseth's Homepage","Not Specified","Dag Trygsland Hoelseth",FALSE,FALSE,FALSE,"English",FALSE,10437,FALSE,FALSE,1928,2012,1998,1998,1914,FALSE,TRUE,TRUE,NA
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Albania_1946EnglishPrivate_15.txt","tion  in  order  to  change  the  constitutional  r6gime  of the  People's  Republic/of  Albania  in  an  undemocratic  manner.  Any  act  of  this  kind  is  illegal/and  carries  with it punishment  as  prescribed  by law./to  citizens  of  other  countries  who  are  persecuted  for  their  activities  in/behalf  of  democracy,  national  liberation,  rights  of  the  workers,  or  scien-/tific  and  cultural  freedom.","Albania_1946EnglishPrivate_15.txt",15,"Albania's Constitution of 1946","699K",699803,13,"Albania",1946,"new",10,440,"HeinOnline - Constitutions of Nations","Pan-Albanian Federation of America","William S. Hein & Co., Inc.",FALSE,FALSE,FALSE,"English",FALSE,37219,TRUE,TRUE,1928,2012,1998,1998,1914,FALSE,TRUE,FALSE,"new"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Albania_1950EnglishPrivate_8478.txt","of organization  and  their  political activity,  the State guarantees to  the citizens  the /right  to join  in social organizations: the Democratic Front,  the Trade Unions,  the /cooperatives, the organizations of Youth and of Women, the organizations of Sport /property  (state  and  cooperative  property),  the  sacred  and  inviolable  basis  of  the /people's democracy, the source of power of the fatherland,  of the welfare and culture /of all  the working people. /Constitution in order to change the constitutional order of the People's Republic of /Albania for anti-democratic purposes. //ARTICLE 40.  The People's  Republic  of Albania  grants  the  right  to asylum  in its /territory to foreign citizens persecuted on account of their activity in favor of democ(cid:173)/racy, of the struggle for national liberation, of  the rights  of working  people  or in","Albania_1950EnglishPrivate_8478.txt",8478,"Albania's Constitution of 1946 with Amendments through 1950","523K",523142,13,"Albania",1950,"amendment",11,440,"Constitutions of the World 1776 to Present","Not Applicable","K.G. Saur Verlag",FALSE,FALSE,FALSE,"English",FALSE,36792,TRUE,TRUE,1928,2012,1998,1998,1914,FALSE,TRUE,FALSE,"amendment"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Albania_1955EnglishPrivate_11872.txt","guarantees  to  the  citizens  the  right  to  join  in  social  organiza-/tions:  the  Democratic  Front,  the  Trade  Unions,  the  cooperatives,/the  organizations  of  Youth  and  of  Women,  the  organizations/social  property  (state  and  cooperative  property),! the  sacred  and/inviolable  basis  of  the  people's  democracy,  the  source  of  power/of  the  Fatherland,  of  the welfare  and  culture  of  all  the  working/of /for  anti-democratic/purposes./in  its  territory  to  foreign  citizens  persecuted  on  account  of  their/activity  in  favor  of  democracy,  of  the  struggle  for  national/liberation,  of  the  rights  of  working  people  or  in  favor  of  the","Albania_1955EnglishPrivate_11872.txt",11872,"Albania's Constitution of 1946 with Amendments through 1955","726K",726648,45,"Albania",1955,"amendment",1942,440,"HeinOnline","Not Specified","William S. Hein & Co., Inc.",FALSE,FALSE,FALSE,"English",FALSE,43776,TRUE,TRUE,1928,2012,1998,1998,1914,FALSE,TRUE,FALSE,"amendment"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Albania_1958EnglishPrivate_11744.txt","field  of  organization  and  their  political  activity,  the  State  guarantees  to/the  citizens  the right  to join  in social  organizations:  the Democratic  Front,/the  Trade  Unions,  the  co-operatives,  the  organizations  of  Youth  and  of/property  (state and  co-operative  property),  the sacred  and  inviolable  basis/of  the  people's  democracy,  the  source  of  power  of  the  Fatherland,  of  the/welfare  and  culture  of  all  the  working  people./this Constitution, in order  to change the constitutional  order of  the People's/Republic  of  Albania  for  anti-democratic  purposes.//i  n  its  territory  to  foreign  citizens  persecuted  on  account  of  their  activity/n  favor of  democracy,  of  the  struggle  for  national  liberation,  of  the  rights/of working  people  or in favor of the freedom in  scientific  and cultural  work","Albania_1958EnglishPrivate_11744.txt",11744,"Albania's Constitution of 1946 with Amendments through 1958","732K",732771,15,"Albania",1958,"amendment",14,440,"HeinOnline - Constitutions of Nations","Not Specified","William S. Hein & Co., Inc.",FALSE,FALSE,FALSE,"English",FALSE,39615,TRUE,TRUE,1928,2012,1998,1998,1914,FALSE,TRUE,FALSE,"amendment"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Albania_1976EnglishPrivate_16.txt","pendent Albanian national state in November 28, 1912./The national democratic and revolutionary movement was given a new impulse and/content with the triumph of the great October Socialist Revolution and with the/history for national and social liberation. In the fire of the war for freedom, on/the ruins of the old state power, the new Albanian state of people's democracy e-/merged as a form of the dictatorship of the proletariat. On November 29, 1944,/strengthening of the state of the dictatorship of the proletariat and the deepenin g/of socialist democracy, the development of the productive forces and the perfecting/of socialist relations of production, the steady raising of the wellbeing of the/mic life in the People's Socialist Republic of Albania are based on the principle/of democratic centralism and develop according to it, combining the centralized/direction with the creative initiative of local organs and the masses of the workin//The creation of any type of organization of a fascist, anti-democratic, re///Fascist, anti-democratic, religious, war-mongering, and anti-socialist act//granted to foreign citizens who are persecuted on account of their activity in/favour of the revolution and socialism, of democracy and national liberation, or/the progress of science and culture./pendent Albanian national state in November 28, 1912./The national democratic and revolutionary movement was given a new impulse and/content with the triumph of the great October Socialist Revolution and with the/history for national and social liberation. In the fire of the war for freedom, on/the ruins of the old state power, the new Albanian state of people's democracy e-/merged as a form of the dictatorship of the proletariat. On November 29, 1944,/strengthening of the state of the dictatorship of the proletariat and the deepenin g/of socialist democracy, the development of the productive forces and the perfecting/of socialist relations of production, the steady raising of the wellbeing of the/mic life in the People's Socialist Republic of Albania are based on the principle/of democratic centralism and develop according to it, combining the centralized/direction with the creative initiative of local organs and the masses of the workin//The creation of any type of organization of a fascist, anti-democratic, re///Fascist, anti-democratic, religious, war-mongering, and anti-socialist act//granted to foreign citizens who are persecuted on account of their activity in/favour of the revolution and socialism, of democracy and national liberation, or/the progress of science and culture.","Albania_1976EnglishPrivate_16.txt",16,"Albania's Constitution of 1976","988K",988567,24,"Albania",1976,"new",15,441,"Constitutions of the Countries of the World","Not Specified","Oceana Publications, Inc.",FALSE,FALSE,FALSE,"English",FALSE,100502,TRUE,TRUE,1928,2012,1998,1998,1914,FALSE,TRUE,FALSE,"new"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Albania_1991EnglishPrivate_17.txt","Article 2 [Foundations]/(1) The Republic of Albania is a juridical and democratic state./(2) Man's dignity/Article 6 [Pluralism, Political Parties]/(1) Political pluralism is one of the fundamental conditions of democracy in the/Albanian state./(2) The Republic of Albania takes care of the recognition and observation of the/national and democratic rights of the Albanians residing outside the state borders/of the Republic.","Albania_1991EnglishPrivate_17.txt",17,"Albania's Constitution of 1991","34K",34708,11,"Albania",1991,"interim",16,442,"International Constitutional Law","Not Specified","International Constitutional Law",FALSE,FALSE,FALSE,"English",FALSE,25202,TRUE,TRUE,1928,2012,1998,1998,1914,FALSE,TRUE,FALSE,"interim"
"C:/Users/Marquez family/Dropbox/Downloading Constitutions/ccp/Albania_1992EnglishPrivate_11791.txt","/The  Republic  of Albania  is a democratic  state.  based  on  the  rule  of  law./Man's  dignity,  his  rights  and  freedoms.  free  development  of  his  personality  as//Political  pluralism  is one  of  the  fundamental  conditions of democracy  in the///national  and  democratic  rights  of Albanians  residing  outside  the  state  borders  of  the/Republic./The  exercise  of  these  freedoms  and  rights  may  not  be  restricted.  except  in those/cases  prescribed  by  law.  which  constitute  necessary means  in a democratic  society  in/the  interests  of  national  security,  territorial  integrity,  public safety  and  order.  or  for  the/one  of the  highest aspirations  of the  Albanian  people  and a prerequisite  to  the  provision  of  liberty. social  equality/and democratic  prosperity  of society.///limitations  as  are  prescribed  by  law  and  are  necessary  in a democratic  society  in the/interests  of public  safety.  for  the  protection  of  public  order,  health  and  morals.  or  the","Albania_1992EnglishPrivate_11791.txt",11791,"Albania's Constitution of 1991 with Amendments through 1992","1M",1497865,36,"Albania",1992,"amendment",1271,442,"HeinOnline - U.S. Embassy","Unofficial","William S. Hein & Co., Inc.",FALSE,FALSE,FALSE,"English",FALSE,78871,TRUE,TRUE,1928,2012,1998,1998,1914,FALSE,TRUE,FALSE,"amendment"
